name;lastName;email;password;birthDate;role;library_isbns;reading_isbns;premiumPlan
Lucía;García;lucia.garcia@example.com;Clave_123;1998-11-24;user;9780439023510|9780451529300;9780451529300|9780439023510;
Mateo;Martínez;mateo.martinez@example.com;Clave_123;1976-08-01;user;9780545010220|9780439023500|9780439554930;9780545010220;Plan Trimestral
Sofía;López;sofia.lopez@example.com;Clave_123;2002-01-13;user;9780618346260|9781565125600|9780618260300|9780439358070|9780786838650;;Plan Semestral
Hugo;Sánchez;hugo.sanchez@example.com;Clave_123;1994-05-27;user;9780140283330|9781594480000|9780618260300|9780446675540|9780393978900;9780618260300;
Martina;Pérez;martina.perez@example.com;Clave_123;1990-12-09;user;9780297859380|9780770430080|9780679879240;9780770430080|9780297859380;Plan Mensual
Daniel;Gómez;daniel.gomez@example.com;Clave_123;1978-03-19;user;9780061120080|9780140283330|9780060764890|9780439358070;9780140283330;
Valeria;Fernández;valeria.fernandez@example.com;Clave_123;1997-03-22;user;9781594480000|9780553296980;9780553296980|9781594480000;Plan Semestral
Pablo;Ruiz;pablo.ruiz@example.com;Clave_123;2004-08-25;user;9781594480000|9780439139600;9781594480000|9780439139600;Plan Anual
Elena;Díaz;elena.diaz@example.com;Clave_123;1980-10-22;user;9780142437180|9780553588480|9780439064870|9780525478810;9780439064870;
Álvaro;Moreno;alvaro.moreno@example.com;Clave_123;1979-12-23;user;9780439358070|9780142437180|9780142001740|9780307277670;9780142001740|9780142437180;
Carla;Álvarez;carla.alvarez@example.com;Clave_123;2002-05-25;user;9780679783270|9780307269750|9780142001740|9780965818670;;
Diego;Romero;diego.romero@example.com;Clave_123;1976-05-03;user;9781594480000|9780439023510|9781400032720|9780679783270;9780679783270|9780439023510;
Paula;Alonso;paula.alonso@example.com;Clave_123;1998-06-09;user;9780679879240|9780439023480|9780345391800|9780743273560|9780739326220;9780743273560|9780739326220;
Marcos;Gutiérrez;marcos.gutierrez@example.com;Clave_123;1997-01-04;user;9780545010220|9780743477120|9780316015840|9780307347980;9780743477120|9780307347980;
Sara;Navarro;sara.navarro@example.com;Clave_123;2006-03-25;user;9780393978900|9780316015840|9780307347980|9781416524790;9780393978900|9781416524790;
Adrián;Torres;adrian.torres@example.com;Clave_123;1994-11-03;user;9780399155340|9780393978900|9781565125600|9780316015840|9780142437180;9780316015840|9780393978900;
Nerea;Domínguez;nerea.dominguez@example.com;Clave_123;1992-12-28;user;9780316015840|9780553816720|9780307269750|9780618260300|9780439785970;;
Iván;Vázquez;ivan.vazquez@example.com;Clave_123;1989-11-10;user;9780307347980|9780142000670;9780307347980|9780142000670;Plan Trimestral
Claudia;Ramos;claudia.ramos@example.com;Clave_123;1999-05-12;user;9780439358070|9780142437180|9780062024040|9780142000670|9780439064870;9780142437180;
Rubén;Gil;ruben.gil@example.com;Clave_123;1987-03-25;user;9780142000670|9780553816720|9780393978900|9780739326220|9780316166680;;Plan Anual
Aitana;Serrano;aitana.serrano@example.com;Clave_123;1997-11-02;user;9780385333850|9780679879240|9780307277670|9781612130290|9780446675540;9780385333850|9780307277670;Plan Mensual
Bruno;Blanco;bruno.blanco@example.com;Clave_123;1997-12-15;user;9780770430080|9780439358070;9780439358070;
Irene;Suárez;irene.suarez@example.com;Clave_123;2001-02-28;user;9780439785970|9780385732550|9780965818670|9780393978900|9780439023510;;Plan Semestral
Gonzalo;Molina;gonzalo.molina@example.com;Clave_123;1990-07-24;user;9780545010220|9780439023500|9780439785970;9780545010220|9780439023500;Plan Anual
Marta;Morales;marta.morales@example.com;Clave_123;1998-06-04;user;9780316769170|9781400032720|9780385333850|9780743273560|9780553296980;;
Óscar;Ortega;oscar.ortega@example.com;Clave_123;1996-07-07;user;9781416524790|9780439023500|9780385333850;9781416524790;
Alba;Delgado;alba.delgado@example.com;Clave_123;1984-06-13;admin;9780743273560|9780965818670|9781416524790|9780525478810|9780679783270;9780525478810|9780679783270;Plan Semestral
Sergio;Castro;sergio.castro@example.com;Clave_123;1994-09-27;admin;9780965818670|9780142000670|9780385732550|9780439023510|9781612130290;9781612130290;
Noa;Ortiz;noa.ortiz@example.com;Clave_123;2001-12-07;user;9780060764890|9780140283330;;
Javier;Rubio;javier.rubio@example.com;Clave_123;1978-06-06;user;9780786838650|9780061120080|9780439023500|9781565125600|9780452284240;9780452284240;Plan Trimestral
